pathway	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
PWY-6387	32842.96038806252	39552.22153636709	24278.41674135455	25553.479063515766	18588.682294277132	20055.36701195893	23492.529728026682	16983.659169158957	11458.899756803381	31968.81123484031	22731.183870800392	26552.04925037381	37317.973437733584	19178.90416177542	25460.578436210533
PWY-6396	233.92621056479254	270.90803540387066	188.08718844477542	23.870353128935076	45.7257116249749	52.63085811730352	90.69970247434675	197.46772837262546	28.912678801969452	255.07155959671906	535.5678633832384	290.73488165744504	265.46924160029533	192.32242788747408	646.1376963229458
PWY-6397	2.3274344494109442	0.0	0.0	0.0	0.0	0.0	0.0	1.7384412877692748	3.2431672723065468	0.0	0.0	0.0	2.3268768315011874	0.0	0.0
PWY-6467	15956.889999999998	30131.600000000002	6555.87	17128.6	9264.97	4133.0	4248.0	2600.18	8124.76	5724.0	10359.97	1704.27	21146.9	10069.1	8948.099999999999
PWY-6470	5301.1206616639865	177.62270352377223	4118.813907620721	1123.0472274641324	2811.8421602433127	463.05799112983846	19198.291472562938	7150.2762700039675	953.3608123663255	3177.6259640843555	2237.5478956943857	7039.830633957127	1955.0809328806859	1107.7691652354372	5532.942252979813
PWY-6471	25485.28692871749	18232.923346338026	22480.210000579013	16609.29346230584	15915.798937697708	19308.769859583317	21654.26526752921	16381.568855769974	2852.756703804602	30166.844597641226	19352.581276217337	26112.223902605947	26841.411570752913	15061.147868868915	23323.15590574804
PWY-6478	0.0	1395.6044198885852	0.0	493.53848319879853	0.0	23.935287064310767	2484.1613451668513	3.995948212683938	4566.05846945624	762.9659520450562	990.8734772216027	23.807549841161748	173.1966829163871	0.0	0.0
PWY-6505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.510908657869051	10.997214397474819	0.0	0.0	0.0	0.0	0.0
PWY-6507	1875.4974507203085	29390.665550645263	2272.9366775404615	18425.051786076856	2022.7262293341723	4462.8523444591765	20486.734068118098	3743.274777150319	6725.905629212072	815.2908353866063	8319.14486477623	738.9467811022416	19291.66346717487	6219.055782264276	2241.7355759386364
PWY-6519	1040.1712260963047	7274.829020347325	3399.0012090079827	12603.954876697999	10448.498159824345	5839.850946055096	8691.459551683167	4392.25111920124	4482.063718069348	1052.8140778644438	9689.618143275004	608.991825962866	1331.3101983433587	9566.377480353636	9586.444829116004
